,id,last_scraped,source,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,calculated_host_listings_count,calculated_host_listings_count_entire_homes
663,50788134,2026-06-24,city scrape,103 Acre Woods Marlborough Forest The Cedars,96405442,Meg,9,9,4,11,"Ottawa, Canada",f,2,t,Rideau-Goulbourn,45.01358,-75.83895,Campsite,Entire home/apt,5,0.5,2.0,2.0,52.0,2026-07-04,2026-08-03,1560.0,52.0,30.0,365.0,t,26,56,86,361,2026-06-24,4,0,0,2021-08-09,2021-10-10,5.0,5.0,5.0,5.0,4.75,5.0,0.07,2,2
664,50788878,2026-06-24,city scrape,103 Acre Woods Marlborough Forest 103 Paces,96405442,Meg,9,9,4,11,"Ottawa, Canada",f,2,t,Rideau-Goulbourn,45.01226,-75.84083,Campsite,Entire home/apt,5,0.5,2.0,2.0,52.0,2026-07-04,2026-08-03,1560.0,52.0,30.0,365.0,t,28,58,88,363,2026-06-24,11,0,0,2021-07-31,2022-06-30,5.0,5.0,5.0,5.0,5.0,5.0,0.18,2,2
665,51020215,2026-06-24,city scrape,Beautiful Oasis with Great Amenities in Orleans,1983305,Matt,14,3,3,2,"Ottawa, Canada",t,1,t,Cumberland,45.46613,-75.49391,Entire home,Entire home/apt,6,2.0,3.0,6.0,375.67,2026-07-06,2026-07-09,1127.0,375.67,3.0,10.0,t,11,32,62,62,2026-06-24,19,10,10,2024-07-05,2025-10-25,4.89,4.95,5.0,5.0,4.95,4.84,0.79,1,1
666,51161401,2026-06-24,city scrape,Tiny Tiny Room 3Min Walk UOttawa Train Station,146743514,Frits,8,10,8,2,"Mexicali, Mexico",f,74,t,Rideau-Vanier,45.42324,-75.68,Private room in rental unit,Private room,1,1.0,2.0,1.0,61.93,2026-06-24,2026-07-24,1858.0,61.93,30.0,1125.0,t,30,60,90,365,2026-06-24,5,0,0,2021-09-15,2022-09-16,3.6,3.0,3.4,3.4,4.0,3.4,0.09,28,0
667,51209256,2026-06-24,city scrape,Cozy and comfy one bedroom with parking,7354245,Lisa,12,11,12,10,"Ontario, Canada",t,29,t,Rideau-Rockcliffe,45.42604,-75.65634,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,93.66,2026-06-24,2026-07-25,2903.46,93.66,31.0,1125.0,t,30,60,73,320,2026-06-24,8,0,1,2021-08-27,2025-04-30,4.5,4.38,4.88,4.63,4.25,3.5,0.14,20,20
668,51228917,2026-06-24,city scrape,Clean & Cozy Condo w/ Fast WI-FI & Disney+,210950090,Byron,7,10,3,6,"Zapopan, Mexico",f,1,t,Rideau-Rockcliffe,45.45138,-75.62993,Entire home,Entire home/apt,4,1.0,2.0,3.0,284.16,2026-07-19,2026-07-21,568.31,284.16,2.0,1125.0,t,6,17,29,296,2026-06-24,176,49,54,2023-02-05,2026-06-16,4.99,4.97,4.98,4.99,4.85,4.92,4.27,1,1
669,51287458,2026-06-24,city scrape,Great Location in the Glebe - 3 Bed Apt w/ Parking,47266372,Christopher,10,8,4,10,"Ottawa, Canada",t,1,t,Capital,45.40991,-75.686,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,441.5,2026-08-21,2026-08-23,883.0,441.5,2.0,1125.0,t,2,8,20,255,2026-06-24,376,83,75,2021-10-01,2026-06-22,4.95,4.97,4.99,4.99,4.95,4.92,6.53,1,1
670,51368934,2026-06-24,city scrape,Double Room infront of UOttawa 8Min Walk Downtown,146743514,Frits,8,10,8,2,"Mexicali, Mexico",f,74,t,Rideau-Vanier,45.42391,-75.67854,Private room in rental unit,Private room,1,2.0,2.0,1.0,91.33,2026-06-24,2026-07-24,2739.77,91.33,30.0,1125.0,t,30,60,90,365,2026-06-24,0,0,0,10,10,4.8,4.8,4.9,4.9,4.8,4.7,1.8,28,0
671,51451229,2026-06-24,city scrape,Home sweet home! ( 1 bedroom + 1 ),153447528,Lomega,8,8,4,10,"Ottawa, Canada",f,1,t,Innes,45.42765,-75.52439,Entire guest suite,Entire home/apt,2,1.5,2.0,1.0,132.83,2026-06-24,2026-07-24,3984.89,132.83,30.0,365.0,t,30,60,90,90,2026-06-24,32,0,0,2021-08-08,2023-07-04,4.81,4.94,4.94,4.94,4.81,4.91,0.54,1,1
672,51471609,2026-06-24,city scrape,5 bedroom house in trendy Westboro - Monthly,292902845,Ali,6,9,4,10,"Ottawa, Canada",f,2,t,Kitchissippi,45.38519,-75.7489,Entire home,Entire home/apt,6,3.5,5.0,5.0,259.94,2026-11-01,2026-12-01,7798.33,259.94,30.0,365.0,t,0,0,0,235,2026-06-24,37,0,0,2021-09-26,2024-09-29,4.92,4.97,5.0,4.97,4.92,4.78,0.64,2,2
